huruf,kata,idiom,arti_idiom,contoh_kalimat
b,besar,besar kepala,sombong,
t,tangan,tangan kanan,orang kepercayaan,
b,buah,buah hati,anak,
t,tulang,tulang punggung,Orang yg bertanggung jawab penuh untuk menghidupi seseorang / keluarga,
r,ringan,ringan tangan,suka menolong,
k,kaki,kaki tangan,pesuruh,
k,kepala,kepala batu,susah dinasehati,
n,naik,naik daun,terkenal,
m,mental,mental baja,,
p,pangku,berpangku tangan,tidak melakukan apa-apa,
k,kutu,kutu buku,gemar membaca,Andi dikenal sebagai kutu buku.
o,otak,otak udang,,
k,kuda,kuda hitam,Peserta perlombaan yang tidak diperhitungkan untuk menang,
e,empat,empat mata,hanya berdua,Doni ingin berbicara empat mata dengan Ayahnya.
